"","Adipocytes","B-cells","CD4+ T-cells","CD8+ T-cells","Endothelial cells","Fibroblasts","HSC","Macrophages","Monocytes","Myocytes","Neutrophils","NK cells","Skeletal muscle"
"Adipocytes",1,0.839425276559325,0.824421994235921,0.821719049057855,0.934006418746233,0.976041403783217,0.841815950071956,0.784279975242757,0.796313151286812,0.965785250515977,0.535283905745926,0.803844401719838,0.942907592445293
"B-cells",0.839425276559325,1,0.949963937235946,0.941769610006752,0.842175558921374,0.821395934417948,0.938611521339021,0.8164330846042,0.876366602333007,0.81907112601589,0.593981533557595,0.921212123135323,0.80303834507938
"CD4+ T-cells",0.824421994235921,0.949963937235946,1,0.982582218491286,0.827750498575011,0.810416389196977,0.961100516612946,0.80091740286716,0.862561795716319,0.807829496999673,0.59821951940347,0.948167294846589,0.794892210845365
"CD8+ T-cells",0.821719049057855,0.941769610006752,0.982582218491286,1,0.828058082828179,0.807871951727798,0.960348744978639,0.812223721893916,0.868966568372812,0.795250045839673,0.625309086975516,0.97757837109874,0.779859231014553
"Endothelial cells",0.934006418746233,0.842175558921374,0.827750498575011,0.828058082828179,1,0.907652611027852,0.847192774125984,0.801394989040302,0.814192531278373,0.861394171912822,0.563493339820886,0.817627437329483,0.836144956845407
"Fibroblasts",0.976041403783217,0.821395934417948,0.810416389196977,0.807871951727798,0.907652611027852,1,0.831658237360299,0.780879251369463,0.785367287149803,0.942437564293848,0.532099578596703,0.79020714413448,0.91732732956864
"HSC",0.841815950071956,0.938611521339021,0.961100516612946,0.960348744978639,0.847192774125984,0.831658237360299,1,0.829278664778008,0.886995268372577,0.808987624707149,0.633671505862879,0.954533960164834,0.792269864591584
"Macrophages",0.784279975242757,0.8164330846042,0.80091740286716,0.812223721893916,0.801394989040302,0.780879251369463,0.829278664778008,1,0.921381892601502,0.739882254567089,0.687091592794347,0.814175884572062,0.724638287879234
"Monocytes",0.796313151286812,0.876366602333007,0.862561795716319,0.868966568372812,0.814192531278373,0.785367287149803,0.886995268372577,0.921381892601502,1,0.758107639569454,0.770561547714097,0.873105269678952,0.743752213598697
"Myocytes",0.965785250515977,0.81907112601589,0.807829496999673,0.795250045839673,0.861394171912822,0.942437564293848,0.808987624707149,0.739882254567089,0.758107639569454,1,0.475431590233579,0.764715846493449,0.987107256206626
"Neutrophils",0.535283905745926,0.593981533557595,0.59821951940347,0.625309086975516,0.563493339820886,0.532099578596703,0.633671505862879,0.687091592794347,0.770561547714097,0.475431590233579,1,0.65297409277035,0.455043591794102
"NK cells",0.803844401719838,0.921212123135323,0.948167294846589,0.97757837109874,0.817627437329483,0.79020714413448,0.954533960164834,0.814175884572062,0.873105269678952,0.764715846493449,0.65297409277035,1,0.744944239944734
"Skeletal muscle",0.942907592445293,0.80303834507938,0.794892210845365,0.779859231014553,0.836144956845407,0.91732732956864,0.792269864591584,0.724638287879234,0.743752213598697,0.987107256206626,0.455043591794102,0.744944239944734,1
